No,Component,Keywords,Category,Description,Layout Pattern,Do,Don't,Tamagui,Paper,GlueStack,UIKitten,Chart Library,Severity
1,KPI Metric Card,"kpi, metric, stat, value, delta, change, number, indicator",Data Display,"Single stat with label value delta (arrow+%) and optional sparkline","Full-width card or 50% in 2-col grid","Use semantic color for delta (green profit / red loss) with directional icon","Rely on color alone for positive/negative; cram multiple metrics into one card","YStack + SizableText + themed $color tokens + $background","Card + Card.Content + Text (variant titleLarge/bodyMedium)","Card + VStack + Heading + Text","Card + Text (category h6/s1/p1)",--,High
2,Metric Strip,"metric strip, horizontal scroll, stats row, summary bar",Data Display,"Horizontal scroll row of mini stat cards showing key metrics at a glance","Top of dashboard above main content","Keep to 4-6 cards max; use consistent card width","Overload with 10+ cards; mix card sizes randomly","XStack + ScrollView horizontal + gap=""$3"" + Card items","ScrollView horizontal + Surface (elevation 1) cards","HStack + ScrollView + Card items","Layout horizontal + Card items",--,Medium
3,Summary Header,"summary, header, hero metric, primary stat, dashboard title",Data Display,"Large primary metric with subtitle and optional gradient background","Top of screen fixed or scroll-away","Make the primary number the largest text element; pair with period selector","Crowd with too many secondary stats; use heavy gradients that hurt readability","YStack + H2 (primary value) + SizableText (subtitle) + LinearGradient wrapper","Appbar.Header + custom Text layout inside","Box + Heading (size xl) + Text + LinearGradient","Layout + Text (category h1/s1)",--,High
4,Data Table,"data table, sortable, rows, columns, grid, tabular",Data Display,"Sortable rows with column headers and horizontal scroll for overflow","Full-width within a card or standalone section","Enable horizontal scroll for many columns; highlight sorted column; use monospace for numbers","Force all columns to fit screen width; truncate important data","Custom XStack/YStack grid + horizontal ScrollView + SizableText","DataTable + DataTable.Header + DataTable.Title (sortDirection) + DataTable.Row + DataTable.Cell (numeric)","Table + TableHeader + TableBody + TableRow + TableData","List with custom row components",--,High
5,Sparkline Cell,"sparkline, mini chart, inline chart, cell chart, trend indicator",Data Display,"Inline mini chart within a list row or table cell showing trend at a glance","Inline within a list row trailing area or table cell","Keep height 24-32px; no axes/labels (pure shape); use single color","Make sparkline interactive (too small for touch); add axes or labels","Inline within ListItem iconAfter area; use chart-kit with height={24} width={60}","Inline within DataTable.Cell; chart-kit LineChart mini","Inline within TableData; chart-kit mini","Inline within List.Item; chart-kit mini","react-native-chart-kit LineChart (no labels no grid bezier)",Medium
6,Status Badge,"status, badge, dot, indicator, connection, online, offline",Data Display,"Connection or market status dot with label (online/offline/open/closed)","Inside header or appbar; inline with title","Use semantic colors (green=active red=error amber=warning); keep dot size 8-12px","Use badge for decoration without meaning; mix badge sizes inconsistently","styled() View (borderRadius 999 width={8} height={8}) + SizableText","Badge (visible size={8}) + Text; or custom dot View","Badge + Text","custom View + Text",--,Medium
7,Avatar Group,"avatar, group, stacked, users, participants, team",Data Display,"Stacked user avatars with overlap effect showing team or participants","Inline within a card header or list item","Limit to 3-4 visible + +N more overflow; consistent size","Show more than 5 avatars stacked (visual clutter); use without fallback initials","Avatar (circular) in XStack with marginLeft={-8} per item + Avatar.Fallback","Avatar.Icon stacked with negative marginLeft","Avatar stacked in HStack with ml={-8}","custom Image stacked",--,Low
8,Animated Counter,"animated counter, number transition, rolling number, value change",Data Display,"Number that transitions smoothly from old to new value on data update","Within KPI cards or summary headers","Use Reanimated withTiming (300ms) or withSpring for natural feel; format with Intl.NumberFormat","Snap numbers instantly (jarring); animate on every minor fluctuation (use threshold)","SizableText + useAnimatedStyle + withTiming/withSpring + Reanimated","Text + useAnimatedStyle + withTiming/withSpring + Reanimated","Text + Reanimated animated value","Text + Reanimated animated value",--,High
9,Real-Time Ticker,"real-time, ticker, live price, websocket, flash, price update",Data Display,"Live value display with flash-on-change color animation for real-time data","Fixed bar at top or within metric strip","Throttle WebSocket updates to 250ms min; flash green on increase red on decrease briefly (200ms)","Re-render entire screen per tick; leave flash color permanently; no stale data indicator","XStack + animated SizableText + useAnimatedStyle for color flash + useRef for latest value","Surface + animated Text + useAnimatedStyle for flash","HStack + animated Text + flash color","custom animated View + Text","react-native-wagmi-charts LineChart (for price line variant)",Critical
10,List Item Row,"list item, row, icon, title, subtitle, trailing, chevron",Data Display,"Standard list row with icon + title + subtitle + trailing value/chevron","Within FlatList or ScrollView for dashboard sections","Consistent height (56-72px); tap target full row width; trailing text right-aligned","Mix row heights; use tiny tap targets on trailing icons only","ListItem (icon title subTitle iconAfter={ChevronRight})","List.Item (left={icon} title description right={() => <Text>})","HStack + Icon + VStack(Heading + Text) + Text","ListItem (title description accessoryLeft accessoryRight)",--,Medium
