No,Layout Name,Keywords,Category,Description,Structure,Best For,Scroll Behavior,Tamagui Pattern,Paper Pattern,GlueStack Pattern,UIKitten Pattern,Navigation Type,Example Apps
1,Single-Column Card Stack,"card stack, vertical scroll, simple, full-width cards, single column",Single-Screen,"Vertical scroll of full-width dashboard cards stacked in a single column","ScrollView > YStack of full-width Card components with consistent gap","Simple metric dashboards; health trackers; personal finance; weather","Vertical scroll (ScrollView or FlatList); pull-to-refresh at top","ScrollView > YStack gap=""$4"" padding=""$3"" > Card components (YStack + content)","ScrollView > View style gap > Card (mode=""elevated"") components","ScrollView > VStack space=""md"" > Card components","ScrollView > Layout > Card components",Stack (no tabs),"Apple Health; Robinhood home; Simple finance apps"
2,2-Column Widget Grid,"2-column, grid, widget, masonry, multi-metric, tiles",Single-Screen,"Two-column flex grid of equal-width widget cards for dense metric overview","ScrollView > XStack (flexWrap=wrap) > 50%-width Card components","Multi-metric overview; IoT monitoring; weather station; fitness rings","Vertical scroll; cards wrap to fill 2 columns; pull-to-refresh","ScrollView > XStack flexWrap=""wrap"" gap=""$3"" > Cards (width=""48%"")","ScrollView > View flexWrap=""wrap"" flexDirection=""row"" > Surface cards (width 48%)","ScrollView > Grid columns={2} > Card items","ScrollView > Layout flexWrap > Card (width 48%)",Stack (no tabs),"Home Assistant; IoT dashboards; Apple Watch grid; FitBit"
3,Tab-Segmented Dashboard,"tab, segmented, multi-section, overview, positions, history, tabs",Multi-Screen,"Top tabs or segmented control with card stack per tab for multi-section dashboards","Tabs/SegmentedButtons > conditional render of card stack per active tab","Complex dashboards (Overview/Positions/History); trading; admin; CRM","Each tab has its own vertical scroll; preserve scroll position per tab","Tabs + Tabs.List + Tabs.Trigger per section + Tabs.Content (lazy-render with React.memo)","SegmentedButtons (value onValueChange buttons) + conditional View per segment","use expo-router top-tabs or custom Tabs","TabView + TabBar + renderScene per tab",Top Tabs or Segments,"Binance; Coinbase; Robinhood positions; Admin panels"
4,Hero Metric + Card List,"hero, primary metric, highlight, portfolio, revenue, top stat",Single-Screen,"Large primary metric prominently at top with FlatList of secondary cards below","YStack: Hero area (large text + subtitle) > FlatList of Cards","Portfolio-first apps; e-commerce revenue; SaaS MRR; single-KPI focus","Vertical scroll; hero may be sticky or scroll away; FlatList for cards","YStack > Hero (H1 SizableText + SizableText subtitle) > FlatList of Card items","View > Surface (elevation 3) hero section > FlatList of Card items","VStack > Box (hero) > FlatList of Card items","Layout > Card (hero) > List items",Stack,"Robinhood portfolio; Shopify revenue; Stripe dashboard"
5,Swipeable Panel Dashboard,"swipeable, horizontal, pager, panels, pages, carousel",Multi-Screen,"Horizontal swipe between full-screen dashboard panels (portfolio/watchlist/alerts)","PagerView or ScrollView (horizontal pagingEnabled) with page indicators","Watchlist/Portfolio/Alerts; social feeds; multi-account views","Horizontal paging (one panel per screen width); each panel scrolls vertically independently","ScrollView (horizontal pagingEnabled showsHorizontalScrollIndicator={false}) + page width Views","use react-native-pager-view PagerView + page indicators","use react-native-pager-view","use ViewPager from RN community",Horizontal Pager,"Robinhood (swipe between watchlists); Trading apps; Banking apps"
6,Sticky Header + Scroll,"sticky, header, fixed, summary bar, animated header, collapse",Single-Screen,"Animated sticky summary bar that stays visible while body content scrolls","Animated.View (sticky header) + ScrollView (body widgets); header may collapse on scroll","Data-dense financial dashboards; admin dashboards; analytics with key metrics always visible","Vertical scroll for body; sticky header fixed at top; Reanimated for collapse animation","Reanimated Animated YStack (position absolute top onScroll interpolation) + ScrollView body","Appbar.Header (statusBarHeight safe-area) fixed + ScrollView with contentContainerStyle paddingTop","use Reanimated animated Box + ScrollView","use Reanimated animated Layout + ScrollView",Stack with animated header,"Bloomberg; TradingView mobile; Yahoo Finance; Banking apps"
7,Collapsible Section Stack,"collapsible, accordion, grouped, sections, expandable categories",Single-Screen,"Accordion of expandable sections grouping related metrics and actions","ScrollView > Accordion sections (header + expandable content)","Settings-like grouped data; CRM contact detail; admin category management; grouped stats","Vertical scroll; sections expand/collapse independently; animated height transition","ScrollView > YStack of custom Accordion (Pressable header + animated YStack content)","ScrollView > List.Section > List.Accordion (title left expanded onPress) per group","ScrollView > Accordion > AccordionItem + AccordionTrigger + AccordionContent","ScrollView > custom animated collapsible sections",Stack,"Settings apps; CRM detail; Grouped admin panels"
8,Bottom Sheet Primary,"bottom sheet, map, chart primary, persistent sheet, peek",Overlay-Based,"Full-screen chart or map as background with persistent bottom sheet for data","ZStack: full-screen content (chart/map) + persistent bottom sheet (peek + full expand)","Chart-primary dashboards; map-based dashboards; location tracking; delivery monitoring","Sheet: vertical scroll within; Main content: static or pan/zoom; peek = 30% / full = 80%","ZStack > full-screen content + Sheet (snapPoints={[30 80]} open={true})","ZStack > full-screen content + @gorhom/bottom-sheet (snapPoints index enablePanDownToClose={false})","use @gorhom/bottom-sheet over full content","use @gorhom/bottom-sheet",Stack with overlay sheet,"Google Maps; Uber; Apple Maps transit; TradingView chart focus"
9,Side Drawer + Content,"drawer, sidebar, hamburger, navigation, admin, large screen",Multi-Screen,"Persistent sidebar drawer (tablet) or hamburger drawer (phone) with main content area","Drawer navigation: sidebar (tablet min 240px) or swipe-from-left (phone) + main content area","Admin dashboards; large-screen CRM; enterprise apps; multi-section admin","Main content: vertical scroll; drawer: fixed sidebar on tablet / overlay on phone","use expo-router Drawer layout with drawerType responsive","Drawer.Section + Drawer.Item (label icon active onPress) with main content View","use expo-router Drawer or @react-navigation/drawer","use @react-navigation/drawer",Drawer,"Admin panels; Firebase console; Google Analytics mobile; Enterprise CRM"
10,Floating Card Overlay,"floating, overlay, gradient, premium, glass, onboarding",Single-Screen,"Cards floating over a gradient or image background for premium visual effect","ZStack: gradient/image background + YStack of Cards with elevation/shadow","Premium marketing dashboards; onboarding stat screens; fintech welcome; gaming profiles","Vertical scroll for cards; background is static or parallax","ZStack > LinearGradient (full screen) + ScrollView > YStack of Cards (elevate borderRadius=""$4"")","ImageBackground or LinearGradient > ScrollView > Card (mode=""elevated"") components","ZStack > LinearGradient > ScrollView > Card (with shadow)","use ImageBackground + ScrollView + Card",Stack,"Banking welcome; Gaming profile; Premium subscription stats; Fitness achievement"
