No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,HTMX,Use hx-get for partial loads,Load page fragments without full page reload,hx-get on links and buttons for partial content,Full page navigations for small updates,<a hx-get="/Products?handler=List" hx-target="#results">Load</a>,<a href="/Products">Load</a> for partial update,Medium,https://htmx.org/attributes/hx-get/
2,HTMX,Use hx-post for form submissions,Submit forms via AJAX and swap the response,hx-post on forms to submit without redirect,Traditional form post when partial update suffices,<form hx-post="/Contact" hx-target="#form-container">,<form method="post"> for every submission,Medium,https://htmx.org/attributes/hx-post/
3,HTMX,Choose the right hx-swap strategy,Control how response content replaces the target,innerHTML for updating contents outerHTML for replacing element,Default innerHTML when you need to replace the whole element,hx-swap="outerHTML",hx-swap="innerHTML" when replacing element,Medium,https://htmx.org/attributes/hx-swap/
4,HTMX,Debounce hx-trigger on inputs,Prevent excessive requests during typing,hx-trigger="keyup changed delay:300ms" on search inputs,No delay on keyup triggers,hx-trigger="keyup changed delay:300ms",hx-trigger="keyup",High,https://htmx.org/attributes/hx-trigger/
5,HTMX,Show loading indicators with hx-indicator,Provide visual feedback during HTMX requests,hx-indicator pointing to a spinner element,No loading feedback on slow requests,hx-indicator="#spinner",No hx-indicator on slow endpoints,High,https://htmx.org/attributes/hx-indicator/
6,HTMX,Use hx-boost for progressive enhancement,Automatically convert links and forms to AJAX,hx-boost="true" on body or nav for seamless transitions,hx-boost on elements that need full page loads,<body hx-boost="true">,Manual hx-get on every link,Medium,https://htmx.org/attributes/hx-boost/
7,HTMX,Use Out-of-Band swaps for multiple updates,Update multiple page regions from one response,hx-swap-oob="true" on extra elements in response,Multiple sequential HTMX requests for related updates,<div id="cart-count" hx-swap-oob="true">3</div>,Separate request per region update,Medium,https://htmx.org/attributes/hx-swap-oob/
8,HTMX,Confirm destructive actions with hx-confirm,Prompt user before delete or irreversible operations,hx-confirm on delete buttons,No confirmation on destructive actions,hx-confirm="Delete this item?",hx-delete without confirmation,High,https://htmx.org/attributes/hx-confirm/
9,HTMX,Use hx-push-url for browser history,Update URL when HTMX loads meaningful content,hx-push-url="true" on navigational content loads,Push URL for every minor swap,hx-push-url="true" on tab content,hx-push-url on inline edits,Medium,https://htmx.org/attributes/hx-push-url/
10,HTMX,Use hx-select to pick response fragments,Extract specific elements from a full page response,hx-select to grab a fragment from a full response,Return full pages and rely on client to parse,hx-select="#product-list",Parse full page HTML client-side,Low,https://htmx.org/attributes/hx-select/
